koahao,college,major,subject1,subject1_score,subject2,subject2_score,subject3,subject3_score,subject4,subject4_score,net_score,total_score
000000000000000,225软件学院,085400电子信息,101思想政治理论,0,204英语二,0,302数学二,0,408计算机学科专业基础综合,0,0,0
103582210009917,225软件学院,085400电子信息,101思想政治理论,73,204英语（二）,78,302数学（二）,118,408计算机学科专业基础,98,294,367
103582210010241,225软件学院,085400电子信息,101思想政治理论,71,204英语（二）,90,302数学（二）,114,408计算机学科专业基础,114,318,389
103582210009451,225软件学院,085400电子信息,101思想政治理论,70,204英语（二）,93,302数学（二）,142,408计算机学科专业基础,130,365,435
103582210010346,225软件学院,085400电子信息,101思想政治理论,77,204英语（二）,78,302数学（二）,101,408计算机学科专业基础,101,280,357
103582210010745,225软件学院,085400电子信息,101思想政治理论,71,204英语（二）,88,302数学（二）,130,408计算机学科专业基础,116,334,405
103582210010521,225软件学院,085400电子信息,101思想政治理论,79,204英语（二）,70,302数学（二）,122,408计算机学科专业基础,123,315,394
103582210010921,225软件学院,085400电子信息,101思想政治理论,74,204英语（二）,78,302数学（二）,111,408计算机学科专业基础,93,282,356
103582210009698,225软件学院,085400电子信息,101思想政治理论,71,204英语（二）,88,302数学（二）,113,408计算机学科专业基础,104,305,376
103582210010473,225软件学院,085400电子信息,101思想政治理论,67,204英语（二）,77,302数学（二）,97,408计算机学科专业基础,82,256,323
103582210009385,225软件学院,085400电子信息,101思想政治理论,77,204英语（二）,82,302数学（二）,110,408计算机学科专业基础,105,297,374
103582210010222,225软件学院,085400电子信息,101思想政治理论,83,204英语（二）,73,302数学（二）,97,408计算机学科专业基础,104,274,357
103582210009392,225软件学院,085400电子信息,101思想政治理论,72,204英语（二）,92,302数学（二）,126,408计算机学科专业基础,111,329,401
103582210009349,225软件学院,085400电子信息,101思想政治理论,68,204英语（二）,83,302数学（二）,122,408计算机学科专业基础,105,310,378
103582210010096,225软件学院,085400电子信息,101思想政治理论,75,204英语（二）,86,302数学（二）,89,408计算机学科专业基础,104,279,354
